Date,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity
2022-01-01,Ahmedabad,226,97.7,151.6,50.8,26.4,2.26,23.2,18.7,60.8
2022-01-01,Bengaluru,90,42.0,90.2,28.2,13.6,0.97,23.5,25.2,68.6
2022-01-01,Bhopal,133,70.0,146.6,43.9,16.4,1.39,26.0,19.5,51.4
2022-01-01,Chandigarh,164,79.1,136.4,59.1,11.9,2.3,27.8,15.2,49.9
2022-01-01,Chennai,90,53.9,,37.4,17.8,1.18,,22.0,71.6
2022-01-01,Delhi,395,202.6,425.7,96.3,14.9,2.54,32.8,13.4,54.9
2022-01-01,Hyderabad,101,60.4,92.8,38.0,10.9,0.95,25.2,24.4,59.5
2022-01-01,Jaipur,318,143.0,260.8,64.3,9.0,2.99,37.1,14.7,65.8
2022-01-01,Kanpur,412,212.6,444.0,80.7,18.8,2.88,30.6,12.8,55.4
2022-01-01,Kolkata,297,119.1,178.8,51.3,25.6,2.05,22.2,16.8,61.8
2022-01-01,Lucknow,332,162.2,304.2,75.6,26.1,,31.3,12.4,44.1
2022-01-01,Mumbai,151,75.4,151.5,36.6,22.5,1.85,28.6,18.6,56.4
2022-01-01,Patna,347,181.0,304.0,55.1,36.1,2.87,25.0,16.1,67.2
2022-01-01,Pune,141,72.3,110.0,45.6,12.3,1.82,22.3,21.5,47.4
2022-01-02,Ahmedabad,221,96.2,194.3,39.1,28.6,1.72,28.8,22.0,47.2
2022-01-02,Bengaluru,75,45.0,67.9,20.1,8.9,0.93,27.6,21.4,62.6
2022-01-02,Bhopal,204,91.2,147.8,41.8,22.8,1.52,30.8,14.8,48.9
2022-01-02,Chandigarh,220,95.9,192.7,48.0,11.7,1.98,28.1,14.7,57.6
2022-01-02,Chennai,123,67.0,117.3,27.8,30.3,1.25,23.7,25.3,69.8
2022-01-02,Delhi,353,182.6,392.3,63.9,29.9,3.38,27.1,14.7,49.2
2022-01-02,Hyderabad,139,71.8,130.2,28.8,9.5,0.97,24.2,26.7,57.8
2022-01-02,Jaipur,314,138.5,279.5,40.2,12.2,2.23,25.6,13.8,60.1
2022-01-02,Kanpur,361,199.3,303.8,59.0,24.0,2.21,33.9,13.2,62.6
